Serial number of record	ID	Instrument	Prize	Px_fill	Side	Status
1	0x56d	EURUSD 	1.2	1.176	 Sell	In_process
2	0x56d	EURUSD 	1.2	1.176	 Sell	 PartialFill
3	0x56d	EURUSD 	1.2	1.176	 Sell	Done
4	0xa9d	USDCHF 	0.9	0.863	Buy	In_process
5	0xa9d	USDCHF 	0.9	0.863	Buy	Fill
6	0xa9d	USDCHF 	0.9	0.863	Buy	Done
7	0xeb0	USDJPY 	105.02	105.530	 Sell	In_process
8	0xeb0	USDJPY 	105.02	105.530	 Sell	 PartialFill
9	0xeb0	USDJPY 	105.02	105.530	 Sell	Done
10	0x1368	EURJPY 	126.39	127.100	 Sell	In_process
11	0x1368	EURJPY 	126.39	127.100	 Sell	Fill
12	0x1368	EURJPY 	126.39	127.100	 Sell	Done
13	0x1541	USDPLN 	3.7	3.694	 Sell	In_process
14	0x1541	USDPLN 	3.7	3.694	 Sell	 Cansel
15	0x1541	USDPLN 	3.7	3.694	 Sell	Done
16	0x388	USDCHF 	0.9	0.863	Buy	In_process
17	0x388	USDCHF 	0.9	0.863	Buy	 Cansel
18	0x388	USDCHF 	0.9	0.863	Buy	Done
19	0x175e	GBRJPY 	143.61	144.390	Buy	In_process
20	0x175e	GBRJPY 	143.61	144.390	Buy	 PartialFill
21	0x175e	GBRJPY 	143.61	144.390	Buy	Done
22	0xdf7	EURCHF 	1.08	1.136	 Sell	In_process
23	0xdf7	EURCHF 	1.08	1.136	 Sell	Fill
24	0xdf7	EURCHF 	1.08	1.136	 Sell	Done
25	0xdff	USDPLN 	3.7	3.698	 Sell	In_process
26	0xdff	USDPLN 	3.7	3.698	 Sell	 Cansel
27	0xdff	USDPLN 	3.7	3.698	 Sell	Done
28	0x114f	EURJPY 	126.39	127.030	 Sell	In_process
29	0x114f	EURJPY 	126.39	127.030	 Sell	Fill
30	0x114f	EURJPY 	126.39	127.030	 Sell	Done
31	0xc7a	EURUSD 	1.2	1.174	Buy	In_process
32	0xc7a	EURUSD 	1.2	1.174	Buy	Fill
33	0xc7a	EURUSD 	1.2	1.174	Buy	Done
34	0x165a	USDCHF 	0.9	0.857	Buy	In_process
35	0x165a	USDCHF 	0.9	0.857	Buy	 PartialFill
36	0x165a	USDCHF 	0.9	0.857	Buy	Done
37	0x13b	EURCHF 	1.08	1.080	 Sell	In_process
38	0x13b	EURCHF 	1.08	1.080	 Sell	 Cansel
39	0x13b	EURCHF 	1.08	1.080	 Sell	Done
40	0x10ca	AUDUSD 	0.76	0.844	Buy	In_process
41	0x10ca	AUDUSD 	0.76	0.844	Buy	 Cansel
42	0x10ca	AUDUSD 	0.76	0.844	Buy	Done
43	0x4de	EURUSD 	1.2	1.176	 Sell	In_process
44	0x4de	EURUSD 	1.2	1.176	 Sell	 PartialFill
45	0x4de	EURUSD 	1.2	1.176	 Sell	Done
46	0x1698	USDCAD 	0.78	0.879	Buy	In_process
47	0x1698	USDCAD 	0.78	0.879	Buy	 PartialFill
48	0x1698	USDCAD 	0.78	0.879	Buy	Done
49	0x32c	AUDUSD 	0.76	0.847	Buy	In_process
50	0x32c	AUDUSD 	0.76	0.847	Buy	 Cansel
51	0x32c	AUDUSD 	0.76	0.847	Buy	Done
52	0x901	GBPUSD 	1.37	1.337	Buy	In_process
53	0x901	GBPUSD 	1.37	1.337	Buy	 Cansel
54	0x901	GBPUSD 	1.37	1.337	Buy	Done
55	0xa35	EURJPY 	126.39	127.080	 Sell	In_process
56	0xa35	EURJPY 	126.39	127.080	 Sell	Fill
57	0xa35	EURJPY 	126.39	127.080	 Sell	Done
58	0x1316	USDJPY 	105.02	105.560	 Sell	In_process
59	0x1316	USDJPY 	105.02	105.560	 Sell	 PartialFill
60	0x1316	USDJPY 	105.02	105.560	 Sell	Done
61	0xb08	EURUSD 	1.2	1.178	 Sell	In_process
62	0xb08	EURUSD 	1.2	1.178	 Sell	 PartialFill
63	0xb08	EURUSD 	1.2	1.178	 Sell	Done
64	0xb88	EURPLN 	4.5	4.489	 Sell	In_process
65	0xb88	EURPLN 	4.5	4.489	 Sell	 Cansel
66	0xb88	EURPLN 	4.5	4.489	 Sell	Done
67	0x1112	USDPLN 	3.7	3.692	 Sell	In_process
68	0x1112	USDPLN 	3.7	3.692	 Sell	Fill
69	0x1112	USDPLN 	3.7	3.692	 Sell	Done
70	0xaf3	GBPUSD 	1.37	1.338	Buy	In_process
71	0xaf3	GBPUSD 	1.37	1.338	Buy	 PartialFill
72	0xaf3	GBPUSD 	1.37	1.338	Buy	Done
73	0x2d6	EURPLN 	4.5	4.487	 Sell	In_process
74	0x2d6	EURPLN 	4.5	4.487	 Sell	 Cansel
75	0x2d6	EURPLN 	4.5	4.487	 Sell	Done
76	0x14db	EURJPY 	126.39	127.100	 Sell	In_process
77	0x14db	EURJPY 	126.39	127.100	 Sell	 PartialFill
78	0x14db	EURJPY 	126.39	127.100	 Sell	Done
79	0x8c2	EURCHF 	1.08	1.139	 Sell	In_process
80	0x8c2	EURCHF 	1.08	1.139	 Sell	 Cansel
81	0x8c2	EURCHF 	1.08	1.139	 Sell	Done
