ID	Instrument	Prize	Px_fill	Site	Volume init	Volume fill	Date	Status	Note	Tag
0x56d	USDPLN 	3.7	3.699	 Sell	229000	0	2021-02-02 00:00:09.006	In_process	Wheat  Butter Oil Oil	 tag6 tag8 tag2
0x56d	USDPLN 	3.7	3.699	 Sell	229000	53000	2021-02-02 00:00:11.502	 PartialFill	Wheat  Butter Oil Oil	 tag6 tag8 tag2
0x56d	USDPLN 	3.7	3.699	 Sell	229000	53000	2021-02-02 00:00:13.667	Done	Wheat  Butter Oil Oil	 tag6 tag8 tag2
0xa9d	USDJPY 	105.02	105.53	Buy	447000	0	2021-02-02 00:16:45.995	In_process	 Soil  Oil Oil diamond	 tag2 tag4 tag8
0xa9d	USDJPY 	105.02	105.53	Buy	447000	0	2021-02-02 00:29:19.686	 Cansel	 Soil  Oil Oil diamond	 tag2 tag4 tag8
0xa9d	USDJPY 	105.02	105.53	Buy	447000	0	2021-02-02 00:48:11.487	Done	 Soil  Oil Oil diamond	 tag2 tag4 tag8
0xeb0	EURJPY 	126.39	127.06	 Sell	619000	0	2021-02-02 00:24:06.179	In_process	Wheat  Oil diamond silver	 tag7 tag5 tag2 tag5
0xeb0	EURJPY 	126.39	127.06	 Sell	619000	0	2021-02-02 00:45:43.761	 Cansel	Wheat  Oil diamond silver	 tag7 tag5 tag2 tag5
0xeb0	EURJPY 	126.39	127.06	 Sell	619000	0	2021-02-02 01:21:46.742	Done	Wheat  Oil diamond silver	 tag7 tag5 tag2 tag5
0x1368	USDCAD 	0.78	0.78	 Sell	817000	0	2021-02-02 00:41:23.017	In_process	 Goodbye diamond Soil  Oil	 tag5 tag2 tag9
0x1368	USDCAD 	0.78	0.78	 Sell	817000	0	2021-02-02 01:30:50.997	 Cansel	 Goodbye diamond Soil  Oil	 tag5 tag2 tag9
0x1368	USDCAD 	0.78	0.78	 Sell	817000	0	2021-02-02 03:09:31.899	Done	 Goodbye diamond Soil  Oil	 tag5 tag2 tag9
0x1541	EURJPY 	126.39	127.08	 Sell	895000	0	2021-02-02 00:24:59.311	In_process	Wheat  Oil diamond Soil 	 tag6 tag8 tag7 tag5
0x1541	EURJPY 	126.39	127.08	 Sell	895000	801000	2021-02-02 00:47:48.425	 PartialFill	Wheat  Oil diamond Soil 	 tag6 tag8 tag7 tag5
0x1541	EURJPY 	126.39	127.08	 Sell	895000	801000	2021-02-02 01:26:16.825	Done	Wheat  Oil diamond Soil 	 tag6 tag8 tag7 tag5
0x388	USDJPY 	105.02	104.53	Buy	149000	0	2021-02-02 00:16:07.185	In_process	 silver Goodbye Oil diamond	 tag7 tag6 tag8 tag7
0x388	USDJPY 	105.02	104.53	Buy	149000	23000	2021-02-02 00:27:59.652	 PartialFill	 silver Goodbye Oil diamond	 tag7 tag6 tag8 tag7
0x388	USDJPY 	105.02	104.53	Buy	149000	23000	2021-02-02 00:45:38.491	Done	 silver Goodbye Oil diamond	 tag7 tag6 tag8 tag7
0x175e	EURPLN 	4.5	4.482	Buy	984000	0	2021-02-02 00:05:00.993	In_process	 Oil diamond silverWheat 	 tag9 tag9 tag1 tag8
0x175e	EURPLN 	4.5	4.482	Buy	984000	0	2021-02-02 00:07:22.684	 Cansel	 Oil diamond silverWheat 	 tag9 tag9 tag1 tag8
0x175e	EURPLN 	4.5	4.482	Buy	984000	0	2021-02-02 00:10:09.303	Done	 Oil diamond silverWheat 	 tag9 tag9 tag1 tag8
0xdf7	GBRJPY 	143.61	144.38	 Sell	588000	0	2021-02-02 00:28:40.365	In_process	Bercut Oil OreWheat 	 tag1 tag9 tag7 tag9
0xdf7	GBRJPY 	143.61	144.38	 Sell	588000	346000	2021-02-02 00:56:48.483	 PartialFill	Bercut Oil OreWheat 	 tag1 tag9 tag7 tag9
0xdf7	GBRJPY 	143.61	144.38	 Sell	588000	346000	2021-02-02 01:46:20.094	Done	Bercut Oil OreWheat 	 tag1 tag9 tag7 tag9
0xdff	GBRJPY 	143.61	144.36	 Sell	590000	0	2021-02-02 00:27:43.747	In_process	Bercut Oil OreWheat 	 tag2 tag2 tag5 tag7
0xdff	GBRJPY 	143.61	144.36	 Sell	590000	590000	2021-02-02 00:54:26.133	Fill	Bercut Oil OreWheat 	 tag2 tag2 tag5 tag7
0xdff	GBRJPY 	143.61	144.36	 Sell	590000	590000	2021-02-02 01:40:58.039	Done	Bercut Oil OreWheat 	 tag2 tag2 tag5 tag7
0x114f	USDPLN 	3.7	3.698	 Sell	729000	0	2021-02-02 00:00:26.049	In_process	 Oil diamond Ore silver	 tag7 tag5 tag3 tag1
0x114f	USDPLN 	3.7	3.698	 Sell	729000	0	2021-02-02 00:00:34.826	 Cansel	 Oil diamond Ore silver	 tag7 tag5 tag3 tag1
0x114f	USDPLN 	3.7	3.698	 Sell	729000	0	2021-02-02 00:00:42.130	Done	 Oil diamond Ore silver	 tag7 tag5 tag3 tag1
0xc7a	USDCAD 	0.78	0.78	Buy	526000	0	2021-02-02 00:41:29.179	In_process	 Goodbye diamond Soil  Oil	 tag7 tag8 tag6 tag4
0xc7a	USDCAD 	0.78	0.78	Buy	526000	526000	2021-02-02 01:31:07.292	Fill	 Goodbye diamond Soil  Oil	 tag7 tag8 tag6 tag4
0xc7a	USDCAD 	0.78	0.78	Buy	526000	526000	2021-02-02 03:10:15.042	Done	 Goodbye diamond Soil  Oil	 tag7 tag8 tag6 tag4
0x165a	AUDUSD 	0.76	0.76	Buy	941000	0	2021-02-02 00:35:57.095	In_process	 Butter diamond silver Goodbye	 tag9 tag6 tag4
0x165a	AUDUSD 	0.76	0.76	Buy	941000	0	2021-02-02 01:15:45.837	 Cansel	 Butter diamond silver Goodbye	 tag9 tag6 tag4
0x165a	AUDUSD 	0.76	0.76	Buy	941000	0	2021-02-02 02:31:21.319	Done	 Butter diamond silver Goodbye	 tag9 tag6 tag4
0x13b	GBPUSD 	1.37	1.338	 Sell	52000	0	2021-02-02 00:09:23.375	In_process	 Ore Soil  Butter Oil	 tag1 tag2 tag1 tag2
