Serial number of record,ID,Instrument,Prize,Px_fill,Side,Volume init,Volume fill,Date,Status,Note,Tag
1383,0xab8,USDPLN ,3.7,3.699, Sell,452000,204000,2021-02-02 00:00:03.063,Done, diamond diamond diamond diamond, tag2 tag2 tag2 tag2
1613,0x636,USDPLN ,3.7,3.699, Sell,262000,69000,2021-02-02 00:00:03.364, PartialFill, diamond diamond diamond diamond, tag2 tag2 tag2 tag2
1382,0xab8,USDPLN ,3.7,3.699, Sell,452000,204000,2021-02-02 00:00:03.431, PartialFill, diamond diamond diamond diamond, tag2 tag2 tag2 tag2
1614,0x636,USDPLN ,3.7,3.699, Sell,262000,69000,2021-02-02 00:00:03.480,Done, diamond diamond diamond diamond, tag2 tag2 tag2 tag2
290,0xfa2,USDPLN ,3.7,3.699, Sell,659000,434000,2021-02-02 00:00:03.495, PartialFill, diamond diamond diamond diamond, tag2 tag2 tag2 tag2
289,0xfa2,USDPLN ,3.7,3.699, Sell,659000,0,2021-02-02 00:00:03.511,In_process, diamond diamond diamond diamond, tag2 tag2 tag2 tag2
291,0xfa2,USDPLN ,3.7,3.699, Sell,659000,434000,2021-02-02 00:00:03.562,Done, diamond diamond diamond diamond, tag2 tag2 tag2 tag2
1612,0x636,USDPLN ,3.7,3.699, Sell,262000,0,2021-02-02 00:00:03.567,In_process, diamond diamond diamond diamond, tag2 tag2 tag2 tag2
1381,0xab8,USDPLN ,3.7,3.699, Sell,452000,0,2021-02-02 00:00:03.952,In_process, diamond diamond diamond diamond, tag2 tag2 tag2 tag2
4505,0xae8,USDPLN ,3.7,3.699, Sell,460000,0,2021-02-02 00:00:04.609,New, Ore silver Soil Wheat , tag3 tag4 tag5 tag6
3533,0x164c,USDPLN ,3.7,3.699, Sell,939000,0,2021-02-02 00:00:04.972,New, Ore silver Soil Wheat , tag3 tag4 tag5 tag6
5997,0x79f,USDPLN ,3.7,3.699,Buy,321000,0,2021-02-02 00:00:04.983,New, Ore silver Soil Wheat , tag3 tag4 tag5 tag6
5998,0x79f,USDPLN ,3.7,3.699,Buy,321000,0,2021-02-02 00:00:05.310,In_process, Ore silver Soil Wheat , tag3 tag4 tag5 tag6
4506,0xae8,USDPLN ,3.7,3.699, Sell,460000,0,2021-02-02 00:00:05.531,In_process, Ore silver Soil Wheat , tag3 tag4 tag5 tag6
3534,0x164c,USDPLN ,3.7,3.699, Sell,939000,0,2021-02-02 00:00:05.812,In_process, Ore silver Soil Wheat , tag3 tag4 tag5 tag6
7099,0xb60,USDPLN ,3.7,3.699,Buy,479000,0,2021-02-02 00:00:06.202,New, Soil Bercut Goodbye Oil, tag5 tag7 tag9 tag1
5999,0x79f,USDPLN ,3.7,3.699,Buy,321000,103000,2021-02-02 00:00:06.351, PartialFill, Ore silver Soil Wheat , tag3 tag4 tag5 tag6
3535,0x164c,USDPLN ,3.7,3.699, Sell,939000,882000,2021-02-02 00:00:06.457, PartialFill, Ore silver Soil Wheat , tag3 tag4 tag5 tag6
4507,0xae8,USDPLN ,3.7,3.699, Sell,460000,0,2021-02-02 00:00:06.883, Cansel, Ore silver Soil Wheat , tag3 tag4 tag5 tag6
3536,0x164c,USDPLN ,3.7,3.699, Sell,939000,882000,2021-02-02 00:00:07.402,Done, Ore silver Soil Wheat , tag3 tag4 tag5 tag6
6000,0x79f,USDPLN ,3.7,3.699,Buy,321000,103000,2021-02-02 00:00:07.569,Done, Ore silver Soil Wheat , tag3 tag4 tag5 tag6
3445,0x58e,USDPLN ,3.7,3.699, Sell,234000,0,2021-02-02 00:00:07.629,New,Wheat  Butter Oil Oil, tag6 tag8 tag2
4508,0xae8,USDPLN ,3.7,3.699, Sell,460000,0,2021-02-02 00:00:07.872,Done, Ore silver Soil Wheat , tag3 tag4 tag5 tag6
1591,0x1774,USDPLN ,3.7,3.699, Sell,988000,0,2021-02-02 00:00:08.665,In_process, Soil Bercut Goodbye Oil, tag5 tag7 tag9 tag1
7100,0xb60,USDPLN ,3.7,3.699,Buy,479000,0,2021-02-02 00:00:08.915,In_process, Soil Bercut Goodbye Oil, tag5 tag7 tag9 tag1
1,0x56d,USDPLN ,3.7,3.699, Sell,229000,0,2021-02-02 00:00:09.006,In_process,Wheat  Butter Oil Oil, tag6 tag8 tag2
3446,0x58e,USDPLN ,3.7,3.699, Sell,234000,0,2021-02-02 00:00:09.168,In_process,Wheat  Butter Oil Oil, tag6 tag8 tag2
2493,0x10cf,USDPLN ,3.7,3.699,Buy,708000,0,2021-02-02 00:00:09.659,New, Butter Oil Oil Oil, tag8 tag1 tag4 tag7
6417,0x1735,USDPLN ,3.7,3.699, Sell,977000,0,2021-02-02 00:00:09.771,New, Butter Oil Oil diamond, tag8 tag2 tag6
1672,0x11f8,USDPLN ,3.7,3.699,Buy,757000,0,2021-02-02 00:00:09.908,In_process,Wheat  Butter Oil Oil, tag6 tag8 tag2
7101,0xb60,USDPLN ,3.7,3.699,Buy,479000,230000,2021-02-02 00:00:10.530, PartialFill, Soil Bercut Goodbye Oil, tag5 tag7 tag9 tag1
1592,0x1774,USDPLN ,3.7,3.699, Sell,988000,0,2021-02-02 00:00:10.687, Cansel, Soil Bercut Goodbye Oil, tag5 tag7 tag9 tag1
6781,0x66c,USDPLN ,3.7,3.699, Sell,271000,0,2021-02-02 00:00:10.961,New, Goodbye Oil Oil diamond, tag9 tag3 tag7 tag1
3447,0x58e,USDPLN ,3.7,3.699, Sell,234000,234000,2021-02-02 00:00:11.021,Fill,Wheat  Butter Oil Oil, tag6 tag8 tag2
2,0x56d,USDPLN ,3.7,3.699, Sell,229000,53000,2021-02-02 00:00:11.502, PartialFill,Wheat  Butter Oil Oil, tag6 tag8 tag2
1673,0x11f8,USDPLN ,3.7,3.699,Buy,757000,573000,2021-02-02 00:00:11.653, PartialFill,Wheat  Butter Oil Oil, tag6 tag8 tag2
673,0x1195,USDPLN ,3.7,3.699,Buy,741000,0,2021-02-02 00:00:11.720,In_process,Bercut Oil Oil Oil, tag7 tag3 tag6
1593,0x1774,USDPLN ,3.7,3.699, Sell,988000,0,2021-02-02 00:00:12.122,Done, Soil Bercut Goodbye Oil, tag5 tag7 tag9 tag1
2494,0x10cf,USDPLN ,3.7,3.699,Buy,708000,0,2021-02-02 00:00:12.223,In_process, Butter Oil Oil Oil, tag8 tag1 tag4 tag7
1273,0x803,USDPLN ,3.7,3.699, Sell,338000,0,2021-02-02 00:00:12.668,In_process, Butter Oil Oil Oil, tag8 tag1 tag4 tag8
1925,0x1664,USDPLN ,3.7,3.698, Sell,943000,0,2021-02-02 00:00:12.869,New, Oil Oil diamond diamond, tag1 tag6 tag1 tag6
1674,0x11f8,USDPLN ,3.7,3.699,Buy,757000,573000,2021-02-02 00:00:13.028,Done,Wheat  Butter Oil Oil, tag6 tag8 tag2
3448,0x58e,USDPLN ,3.7,3.699, Sell,234000,234000,2021-02-02 00:00:13.486,Done,Wheat  Butter Oil Oil, tag6 tag8 tag2
6418,0x1735,USDPLN ,3.7,3.699, Sell,977000,0,2021-02-02 00:00:13.618,In_process, Butter Oil Oil diamond, tag8 tag2 tag6
3,0x56d,USDPLN ,3.7,3.699, Sell,229000,53000,2021-02-02 00:00:13.667,Done,Wheat  Butter Oil Oil, tag6 tag8 tag2
674,0x1195,USDPLN ,3.7,3.699,Buy,741000,741000,2021-02-02 00:00:14.127,Fill,Bercut Oil Oil Oil, tag7 tag3 tag6
6782,0x66c,USDPLN ,3.7,3.699, Sell,271000,0,2021-02-02 00:00:14.352,In_process, Goodbye Oil Oil diamond, tag9 tag3 tag7 tag1
4329,0x173e,USDPLN ,3.7,3.698, Sell,979000,0,2021-02-02 00:00:14.436,New, Oil Oil diamond Ore, tag3 tag9 tag5 tag1
1274,0x803,USDPLN ,3.7,3.699, Sell,338000,338000,2021-02-02 00:00:15.142,Fill, Butter Oil Oil Oil, tag8 tag1 tag4 tag8
922,0x785,USDPLN ,3.7,3.699,Buy,317000,0,2021-02-02 00:00:15.624,In_process, Oil Oil Oil diamond, tag4 tag8 tag2
2495,0x10cf,USDPLN ,3.7,3.699,Buy,708000,501000,2021-02-02 00:00:15.647, PartialFill, Butter Oil Oil Oil, tag8 tag1 tag4 tag7
2717,0x14ab,USDPLN ,3.7,3.698, Sell,871000,0,2021-02-02 00:00:15.733,New, Oil diamond diamond Ore, tag4 tag7 tag4
